step,time_s,theta_hat_rad,theta_hat_deg,label_main,label_turn,conf_main,truth_main,truth_turn,theta_truth_rad
476,4.75,0,0,1,1,0.999993920326233,1,1,0
477,4.76,0,0,1,1,0.999993562698364,1,1,0
478,4.77,0,0,1,1,0.999993085861206,1,1,0
479,4.78,0,0,1,1,0.999992728233337,1,1,0
480,4.79,0,0,1,1,0.999992489814758,1,1,0
481,4.8,0,0,1,1,0.99999213218689,1,1,0
482,4.81,0,0,1,1,0.999991655349731,1,1,0
483,4.82,0,0,1,1,0.999991059303284,1,1,0
484,4.83,0,0,1,1,0.999990820884705,1,1,0
485,4.84,0,0,1,1,0.999990582466125,1,1,0
486,4.85,0,0,1,1,0.999990224838257,1,1,0
487,4.86,0,0,1,1,0.999990344047546,1,1,0
488,4.87,0,0,1,1,0.999990105628967,1,1,0
489,4.88,0,0,1,1,0.999989986419678,1,1,0
490,4.89,0,0,1,1,0.999990224838257,1,1,0
491,4.9,0,0,1,1,0.999990463256836,1,1,0
492,4.91,0,0,1,1,0.999990701675415,1,1,0
493,4.92,0,0,1,1,0.999990701675415,1,1,0
494,4.93,0,0,1,1,0.999990820884705,1,1,0
495,4.94,0,0,1,1,0.999991178512573,1,1,0
496,4.95,0,0,1,1,0.999991297721863,1,1,0
497,4.96,0,0,1,1,0.999991536140442,1,1,0
498,4.97,0,0,1,1,0.999991416931152,1,1,0
499,4.98,0,0,1,1,0.999991297721863,1,1,0
500,4.99,0,0,1,1,0.999991536140442,1,1,0
501,5,0,0,1,1,0.999991655349731,1,1,0
502,5.01,0,0,1,1,0.999991774559021,1,1,0
503,5.02,0,0,1,1,0.999991655349731,1,1,0
504,5.03,0,0,1,1,0.999991416931152,1,1,0
505,5.04,0,0,1,1,0.999991536140442,1,1,0
506,5.05,0,0,1,1,0.999991774559021,1,1,0
507,5.06,0,0,1,1,0.9999920129776,1,1,0
508,5.07,0,0,1,1,0.999991774559021,1,1,0
509,5.08,0,0,1,1,0.999991416931152,1,1,0
510,5.09,0,0,1,1,0.999991416931152,1,1,0
511,5.1,0,0,1,1,0.999991416931152,1,1,0
512,5.11,0,0,1,1,0.999991416931152,1,1,0
513,5.12,0,0,1,1,0.999990463256836,1,1,0
514,5.13,0,0,1,1,0.999990463256836,1,1,0
515,5.14,0,0,1,1,0.99998927116394,1,1,0
516,5.15,0,0,1,1,0.99998950958252,1,1,0
517,5.16,0,0,1,1,0.999988436698914,1,1,0
518,5.17,0,0,1,1,0.999986886978149,1,1,0
519,5.18,0,0,1,1,0.999984860420227,1,1,0
520,5.19,0,0,1,1,0.999984979629517,1,1,0
521,5.2,0,0,1,1,0.999986052513123,1,1,0
522,5.21,0,0,1,1,0.999985098838806,1,1,0
523,5.22,0,0,1,1,0.999982953071594,1,1,0
524,5.23,0,0,1,1,0.999984264373779,1,1,0
525,5.24,0,0,1,1,0.9999840259552,1,1,0
526,5.25,0,0,1,1,0.999985694885254,1,1,0
527,5.26,0,0,1,1,0.999982595443726,1,1,0
528,5.27,0,0,1,1,0.999983429908752,1,1,0
529,5.28,0,0,1,1,0.999982476234436,1,1,0
