t,main,turn,theta,pm1,pm2,pm3,ptm,pt0,ptp,confm,conft,thg,thref,wref
44.4,1,0,0.00414550211280584,1,2.43079334438789e-08,5.94996869551778e-08,0.000358627148671076,0.999549210071564,9.21375903999433e-05,1,0.999549210071564,0,0,0
44.6,1,0,0.00414550211280584,1,2.43079334438789e-08,5.94996869551778e-08,0.000358627148671076,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
44.8,1,0,0.00414550676941872,1,2.43079796291568e-08,5.94998006420155e-08,0.00035862679942511,0.999549210071564,9.21376777114347e-05,1,0.999549210071564,0,0,0
45,1,0,0.00414549559354782,1,2.43079334438789e-08,5.94996869551778e-08,0.000358626100933179,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
45.2,1,0,0.00414549745619297,1,2.43079334438789e-08,5.94996869551778e-08,0.000358626450179145,0.999549210071564,9.21376777114347e-05,1,0.999549210071564,0,0,0
45.4,1,0,0.00414549745619297,1,2.43079334438789e-08,5.94996869551778e-08,0.000358626450179145,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
45.6,1,0,0.00414549559354782,1,2.43079334438789e-08,5.94995732683401e-08,0.000358626275556162,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
45.8,1,0,0.00414550025016069,1,2.43079334438789e-08,5.94996869551778e-08,0.000358625606168061,0.999549210071564,9.21375903999433e-05,1,0.999549210071564,0,0,0
46,1,0,0.00414549559354782,1,2.43079334438789e-08,5.94995732683401e-08,0.000358626100933179,0.999549210071564,9.21376777114347e-05,1,0.999549210071564,0,0,0
46.2,1,0,0.00414550118148327,1,2.43078872586011e-08,5.94994595815024e-08,0.000358625926310197,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
46.4,1,0,0.00414550676941872,1,2.43079334438789e-08,5.94994595815024e-08,0.000358625606168061,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
