step,time_s,theta_hat_rad,theta_hat_deg,label_main,label_turn,conf_main,buffer_count,truth_main,truth_turn,theta_truth_rad
239,2.38,0,0,1,0,0.983539223670959,128,1,0,0
240,2.39,0,0,1,0,0.984122633934021,128,1,0,0
241,2.4,0,0,1,0,0.98465234041214,128,1,0,0
242,2.41,0,0,1,0,0.985134363174438,128,1,0,0
243,2.42,0,0,1,0,0.98557323217392,128,1,0,0
244,2.43,0,0,1,0,0.985974371433258,128,1,0,0
245,2.44,0,0,1,0,0.986339926719666,128,1,0,0
246,2.45,0,0,1,0,0.986673951148987,128,1,0,0
247,2.46,0,0,1,0,0.986979603767395,128,1,0,0
248,2.47,0,0,1,0,0.98725962638855,128,1,0,0
249,2.48,0,0,1,0,0.987517416477203,128,1,0,0
250,2.49,0,0,1,0,0.987753927707672,128,1,0,0
251,2.5,0,0,1,0,0.987971484661102,128,1,0,0
252,2.51,0,0,1,0,0.988172113895416,128,1,0,0
253,2.52,0,0,1,0,0.988357722759247,128,1,0,0
254,2.53,0,0,1,0,0.988529741764069,128,1,0,0
255,2.54,0,0,1,0,0.988689005374908,128,1,0,0
256,2.55,0,0,1,0,0.988837122917175,128,1,0,0
257,2.56,0,0,1,0,0.988974928855896,128,1,0,0
258,2.57,0,0,1,0,0.989103674888611,128,1,0,0
259,2.58,0,0,1,0,0.989224493503571,128,1,0,0
260,2.59,0,0,1,0,0.989337682723999,128,1,0,0
261,2.6,0,0,1,0,0.989443957805634,128,1,0,0
262,2.61,0,0,1,0,0.989544272422791,128,1,0,0
263,2.62,0,0,1,0,0.989639043807983,128,1,0,0
264,2.63,0,0,1,0,0.989729166030884,128,1,0,0
265,2.64,0,0,1,0,0.989814519882202,128,1,0,0
266,2.65,0,0,1,0,0.989895701408386,128,1,0,0
267,2.66,0,0,1,0,0.989973306655884,128,1,0,0
268,2.67,0,0,1,0,0.990047514438629,128,1,0,0
269,2.68,0,0,1,0,0.990118741989136,128,1,0,0
270,2.69,0,0,1,0,0.990187168121338,128,1,0,0
271,2.7,0,0,1,0,0.990252733230591,128,1,0,0
272,2.71,0,0,1,0,0.990316092967987,128,1,0,0
273,2.72,0,0,1,0,0.990377247333527,128,1,0,0
274,2.73,0,0,1,0,0.990436136722565,128,1,0,0
275,2.74,0,0,1,0,0.99049311876297,128,1,0,0
276,2.75,0,0,1,0,0.990548074245453,128,1,0,0
277,2.76,0,0,1,0,0.990601181983948,128,1,0,0
278,2.77,0,0,1,0,0.990652561187744,128,1,0,0
279,2.78,0,0,1,0,0.990702152252197,128,1,0,0
280,2.79,0,0,1,0,0.990749895572662,128,1,0,0
281,2.8,0,0,1,0,0.990795791149139,128,1,0,0
282,2.81,0,0,1,0,0.990839898586273,128,1,0,0
283,2.82,0,0,1,0,0.990882277488708,128,1,0,0
284,2.83,0,0,1,0,0.990922749042511,128,1,0,0
285,2.84,0,0,1,0,0.990961492061615,128,1,0,0
286,2.85,0,0,1,0,0.990998268127441,128,1,0,0
287,2.86,0,0,1,0,0.991033017635345,128,1,0,0
288,2.87,0,0,1,0,0.991065800189972,128,1,0,0
289,2.88,0,0,1,0,0.99109673500061,128,1,0,0
290,2.89,0,0,1,0,0.991125524044037,128,1,0,0
291,2.9,0,0,1,0,0.991152226924896,128,1,0,0
292,2.91,0,0,1,0,0.991176724433899,128,1,0,0
293,2.92,0,0,1,0,0.99119907617569,128,1,0,0
294,2.93,0,0,1,0,0.991219460964203,128,1,0,0
295,2.94,0,0,1,0,0.991237640380859,128,1,0,0
296,2.95,0,0,1,0,0.991253674030304,128,1,0,0
297,2.96,0,0,1,0,0.991267502307892,128,1,0,0
298,2.97,0,0,1,0,0.991279304027557,128,1,0,0
299,2.98,0,0,1,0,0.991289019584656,128,1,0,0
300,2.99,0,0,1,0,0.991296768188477,128,1,0,0
301,3,0,0,1,0,0.991302371025085,128,1,0,0
302,3.01,0,0,1,0,0.991306126117706,128,1,0,0
303,3.02,0,0,1,0,0.99130791425705,128,1,0,0
304,3.03,0,0,1,0,0.99130791425705,128,1,0,0
305,3.04,0,0,1,0,0.991306006908417,128,1,0,0
306,3.05,0,0,1,0,0.991302609443665,128,1,0,0
307,3.06,0,0,1,0,0.991297602653503,128,1,0,0
308,3.07,0,0,1,0,0.991290926933289,128,1,0,0
309,3.08,0,0,1,0,0.991282939910889,128,1,0,0
310,3.09,0,0,1,0,0.991273462772369,128,1,0,0
311,3.1,0,0,1,0,0.991262793540955,128,1,0,0
312,3.11,0,0,1,0,0.991250991821289,128,1,0,0
313,3.12,0,0,1,0,0.991238057613373,128,1,0,0
314,3.13,0,0,1,0,0.99122428894043,128,1,0,0
315,3.14,0,0,1,0,0.991209506988525,128,1,0,0
316,3.15,0,0,1,0,0.991194069385529,128,1,0,0
317,3.16,0,0,1,0,0.99117773771286,128,1,0,0
318,3.17,0,0,1,0,0.991160988807678,128,1,0,0
319,3.18,0,0,1,0,0.991143703460693,128,1,0,0
320,3.19,0,0,1,0,0.991125881671906,128,1,0,0
321,3.2,0,0,1,0,0.991107821464539,128,1,0,0
322,3.21,0,0,1,0,0.991089582443237,128,1,0,0
323,3.22,0,0,1,0,0.991071224212646,128,1,0,0
324,3.23,0,0,1,0,0.991052567958832,128,1,0,0
325,3.24,0,0,1,0,0.991034090518951,128,1,0,0
326,3.25,0,0,1,0,0.991015613079071,128,1,0,0
327,3.26,0,0,1,0,0.990997076034546,128,1,0,0
328,3.27,0,0,1,0,0.990978956222534,128,1,0,0
329,3.28,0,0,1,0,0.990960896015167,128,1,0,0
330,3.29,0,0,1,0,0.990943133831024,128,1,0,0
331,3.3,0,0,1,0,0.990925669670105,128,1,0,0
332,3.31,0,0,1,0,0.990908563137054,128,1,0,0
333,3.32,0,0,1,0,0.990891993045807,128,1,0,0
334,3.33,0,0,1,0,0.990875720977783,128,1,0,0
335,3.34,0,0,1,0,0.990859925746918,128,1,0,0
336,3.35,0,0,1,0,0.990844547748566,128,1,0,0
337,3.36,0,0,1,0,0.990829706192017,128,1,0,0
338,3.37,0,0,1,0,0.990815281867981,128,1,0,0
339,3.38,0,0,1,0,0.990801513195038,128,1,0,0
340,3.39,0,0,1,0,0.990788161754608,128,1,0,0
341,3.4,0,0,1,0,0.990775287151337,128,1,0,0
342,3.41,0,0,1,0,0.990763008594513,128,1,0,0
343,3.42,0,0,1,0,0.990751266479492,128,1,0,0
344,3.43,0,0,1,0,0.990740060806274,128,1,0,0
345,3.44,0,0,1,0,0.99072927236557,128,1,0,0
346,3.45,0,0,1,0,0.990719139575958,128,1,0,0
347,3.46,0,0,1,0,0.99070930480957,128,1,0,0
348,3.47,0,0,1,0,0.99070018529892,128,1,0,0
349,3.48,0,0,1,0,0.990691363811493,128,1,0,0
350,3.49,0,0,1,0,0.990683078765869,128,1,0,0
351,3.5,0,0,1,0,0.990675270557404,128,1,0,0
352,3.51,0,0,1,0,0.990667760372162,128,1,0,0
353,3.52,0,0,1,0,0.990660846233368,128,1,0,0
354,3.53,0,0,1,0,0.990654289722443,128,1,0,0
355,3.54,0,0,1,0,0.990648090839386,128,1,0,0
356,3.55,0,0,1,0,0.990642249584198,128,1,0,0
357,3.56,0,0,1,0,0.990636885166168,128,1,0,0
358,3.57,0,0,1,0,0.990631818771362,128,1,0,0
359,3.58,0,0,1,0,0.99062705039978,128,1,0,0
360,3.59,0,0,1,0,0.990622580051422,128,1,0,0
361,3.6,0,0,1,0,0.990618526935577,128,1,0,0
362,3.61,0,0,1,0,0.990614652633667,128,1,0,0
363,3.62,0,0,1,0,0.990611135959625,128,1,0,0
364,3.63,0,0,1,0,0.990607738494873,128,1,0,0
365,3.64,0,0,1,0,0.990604817867279,128,1,0,0
366,3.65,0,0,1,0,0.990602016448975,128,1,0,0
367,3.66,0,0,1,0,0.99059933423996,128,1,0,0
368,3.67,0,0,1,0,0.990596950054169,128,1,0,0
369,3.68,0,0,1,0,0.990594744682312,128,1,0,0
370,3.69,0,0,1,0,0.990592896938324,128,1,0,0
371,3.7,0,0,1,0,0.990590989589691,128,1,0,0
372,3.71,0,0,1,0,0.990589380264282,128,1,0,0
373,3.72,0,0,1,0,0.990587830543518,128,1,0,0
374,3.73,0,0,1,0,0.990586459636688,128,1,0,0
375,3.74,0,0,1,0,0.990585267543793,128,1,0,0
376,3.75,0,0,1,0,0.990584254264832,128,1,0,0
377,3.76,0,0,1,0,0.990583181381226,128,1,0,0
378,3.77,0,0,1,0,0.990582346916199,128,1,0,0
379,3.78,0,0,1,0,0.990581631660461,128,1,0,0
380,3.79,0,0,1,0,0.990581095218658,128,1,0,0
381,3.8,0,0,1,0,0.990580499172211,128,1,0,0
382,3.81,0,0,1,0,0.990579903125763,128,1,0,0
383,3.82,0,0,1,0,0.990579545497894,128,1,0,0
384,3.83,0,0,1,0,0.990579307079315,128,1,0,0
385,3.84,0,0,1,0,0.990578949451447,128,1,0,0
386,3.85,0,0,1,0,0.990578830242157,128,1,0,0
387,3.86,0,0,1,0,0.990578711032867,128,1,0,0
388,3.87,0,0,1,0,0.990578591823578,128,1,0,0
389,3.88,0,0,1,0,0.990578591823578,128,1,0,0
390,3.89,0,0,1,0,0.990578711032867,128,1,0,0
391,3.9,0,0,1,0,0.990578711032867,128,1,0,0
392,3.91,0,0,1,0,0.990578711032867,128,1,0,0
393,3.92,0,0,1,0,0.990578949451447,128,1,0,0
394,3.93,0,0,1,0,0.990579068660736,128,1,0,0
395,3.94,0,0,1,0,0.990579307079315,128,1,0,0
396,3.95,0,0,1,0,0.990579426288605,128,1,0,0
397,3.96,0,0,1,0,0.990579664707184,128,1,0,0
398,3.97,0,0,1,0,0.990580022335052,128,1,0,0
399,3.98,0,0,1,0,0.990580379962921,128,1,0,0
400,3.99,0,0,1,0,0.9905806183815,128,1,0,0
401,4,0,0,1,0,0.990580976009369,128,1,0,0
402,4.01,0,0,1,0,0.990581274032593,128,1,0,0
403,4.02,0,0,1,0,0.990581512451172,128,1,0,0
404,4.03,0,0,1,0,0.990581870079041,128,1,0,0
405,4.04,0,0,1,0,0.99058210849762,128,1,0,0
406,4.05,0,0,1,0,0.990582585334778,128,1,0,0
407,4.06,0,0,1,0,0.990582942962646,128,1,0,0
408,4.07,0,0,1,0,0.990583419799805,128,1,0,0
409,4.08,0,0,1,0,0.990583777427673,128,1,0,0
