run_idx,segment_idx,ref_segment_idx,theta_true_deg,repeat_idx,variant_idx,v_ref,omega_ref,segment_duration,noise_variant,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,45,45,-5.6,1,1,0.9,0,5,clean,220,224.99,11,-5.56427038329836,-5.56425726623053,0.000284689288702161,0.0357296167016363,0.0357427337694745,3,0.999964952468872
1,46,46,-5.5,1,1,0.9,0,5,clean,225,229.99,11,-5.45239359224085,-5.45243802727834,0.000229895851400959,0.0476064077591527,0.0475619727216561,3,0.999965786933899
1,47,47,-5.4,1,1,0.9,0,5,clean,230,234.99,11,-5.34272465983254,-5.34262372050281,0.000391551957965939,0.0572753401674628,0.0573762794971859,3,0.999965786933899
1,48,48,-5.3,1,1,0.9,0,5,clean,235,239.99,11,-5.22930253847531,-5.22935108714946,0.000228212201686678,0.070697461524694,0.0706489128505376,3,0.999965906143188
1,49,49,-5.2,1,1,0.9,0,5,clean,240,244.99,11,-5.10958682468473,-5.10969044175907,0.000850501651524102,0.0904131753152697,0.0903095582409295,3,0.999968647956848
1,50,50,-5.1,1,1,0.9,0,5,clean,245,249.99,11,-4.99236797192262,-4.99239098500317,0.00128618944634589,0.107632028077382,0.107609014996827,3,0.999971985816956
1,51,51,-5,1,1,0.9,0,5,clean,250,254.99,11,-4.87448104128231,-4.87464182238306,0.000820557899951023,0.125518958717687,0.12535817761694,3,0.999975562095642
1,52,52,-4.9,1,1,0.9,0,5,clean,255,259.99,11,-4.75928136319359,-4.75956710570983,0.00166781752751999,0.140718636806415,0.140432894290171,3,0.999979496002197
1,53,53,-4.8,1,1,0.9,0,5,clean,260,264.99,11,-4.65849765312182,-4.65876383645998,0.00300127458236471,0.141502346878184,0.141236163540018,3,0.999983549118042
1,54,54,-4.7,1,1,0.9,0,5,clean,265,269.99,11,-4.56152091973868,-4.56166831211634,0.00391236337287963,0.138479080261318,0.13833168788366,3,0.999986529350281
1,55,55,-4.6,1,1,0.9,0,5,clean,270,274.99,11,-4.4618962073917,-4.46198538792984,0.00406119127925394,0.1381037926083,0.13801461207016,3,0.999989628791809
1,56,56,-4.5,1,1,0.9,0,5,clean,275,279.99,11,-4.35823357258477,-4.35815071773319,0.00368544746406377,0.14176642741523,0.14184928226681,3,0.999991536140442
1,57,57,-4.4,1,1,0.9,0,5,clean,280,284.99,11,-4.25965686738856,-4.25987795595505,0.00310813774487274,0.14034313261144,0.140122044044953,3,0.999993324279785
1,58,58,-4.3,1,1,0.9,0,5,clean,285,289.99,11,-4.16296828261104,-4.16321882636832,0.00250210288010354,0.137031717388963,0.136781173631681,3,0.999995112419128
1,59,59,-4.2,1,1,0.9,0,5,clean,290,294.99,11,-4.06551813174106,-4.0656872565388,0.00226948975269808,0.134481868258943,0.134312743461199,3,0.999996781349182
1,60,60,-4.1,1,1,0.9,0,5,clean,295,299.99,11,-3.9682844124904,-3.96827342985668,0.00147855995372776,0.131715587509598,0.13172657014332,3,0.999997973442078
1,61,61,-4,1,1,0.9,0,5,clean,300,304.99,11,-3.87215035369612,-3.87222610670328,0.00148092297547812,0.127849646303881,0.127773893296724,3,0.999998688697815
1,62,62,-3.9,1,1,0.9,0,5,clean,305,309.99,11,-3.77788691296077,-3.77788155747154,0.000974482245262997,0.122113087039227,0.122118442528463,3,0.999999165534973
1,63,63,-3.8,1,1,0.9,0,5,clean,310,314.99,11,-3.68530071055349,-3.6853167382133,0.00115965692987536,0.114699289446512,0.114683261786698,3,0.999999284744263
1,64,64,-3.7,1,1,0.9,0,5,clean,315,319.99,11,-3.59495182198621,-3.5950929274852,0.00175500093135229,0.105048178013794,0.104907072514804,3,0.999999523162842
1,65,65,-3.6,1,1,0.9,0,5,clean,320,324.99,11,-3.49608440686345,-3.49622815129916,0.00230933321891216,0.103915593136552,0.103771848700838,3,0.999999642372131
1,66,66,-3.5,1,1,0.9,0,5,clean,325,329.99,11,-3.39637623814254,-3.39654074480102,0.00248143807819569,0.103623761857456,0.103459255198981,3,0.999999761581421
1,67,67,-3.4,1,1,0.9,0,5,clean,330,334.99,11,-3.30404061830043,-3.30431454381326,0.00223680889481362,0.0959593816995659,0.0956854561867444,3,0.999999761581421
1,68,68,-3.3,1,1,0.9,0,5,clean,335,339.99,11,-3.22322219150285,-3.22307902918553,0.00196560456549881,0.0767778084971531,0.0769209708144727,3,0.999999761581421
1,69,69,-3.2,1,1,0.9,0,5,clean,340,344.99,11,-3.12694042986776,-3.12705638785208,0.000993180478823516,0.0730595701322381,0.0729436121479199,3,0.999999761581421
1,70,70,-3.1,1,1,0.9,0,5,clean,345,349.99,11,-3.02824334258743,-3.02845152752949,0.000756826673979666,0.0717566574125685,0.0715484724705089,3,0.999999642372131
1,71,71,-3,1,1,0.9,0,5,clean,350,354.99,11,-2.93158933564258,-2.93142558573802,0.000565535418061975,0.0684106643574189,0.0685744142619806,3,0.999999523162842
1,72,72,-2.9,1,1,0.9,0,5,clean,355,359.99,11,-2.826316056852,-2.82615772064851,0.000954811731086281,0.0736839431480023,0.0738422793514886,3,0.999998927116394
1,73,73,-2.8,1,1,0.9,0,5,clean,360,364.99,11,-2.71993116477399,-2.71966828010674,0.000666562650205037,0.0800688352260051,0.0803317198932647,3,0.999996781349182
1,74,74,-2.7,1,1,0.9,0,5,clean,365,369.99,11,-2.60778308714038,-2.60790149002196,0.000279805622870551,0.0922169128596182,0.0920985099780403,3,0.999988913536072
1,75,75,-2.6,1,1,0.9,0,5,clean,370,374.99,11,-2.49478849293651,-2.49501159951343,0.000807669542707184,0.10521150706349,0.104988400486567,3,0.999962091445923
1,76,76,-2.5,1,1,0.9,0,5,clean,375,379.99,11,-2.40391133192561,-2.40389103539757,0.000222396101660007,0.09608866807439,0.0961089646024349,3,0.999727427959442
1,77,77,-2.4,1,1,0.9,0,5,clean,380,384.99,11,-2.32655794547133,-2.32658555728721,0.000280042771076725,0.0734420545286651,0.0734144427127879,3,0.994053900241852
1,78,78,-2.3,1,1,0.9,0,5,clean,385,389.99,11,-2.24781632306825,-2.24771385082676,0.00183826750159314,0.0521836769317456,0.0522861491732423,3,0.741798222064972
1,79,79,-2.2,1,1,0.9,0,5,clean,390,394.99,11,-2.19446720956517,-2.1941660215075,0.00279993425447407,0.00553279043483457,0.00583397849249634,1,0.970611393451691
1,80,80,-2.1,1,1,0.9,0,5,clean,395,399.99,11,-2.16293692192227,-2.1624372508958,0.00396796224352421,-0.0629369219222711,-0.0624372508958024,1,0.999800622463226
1,81,81,-2,1,1,0.9,0,5,clean,400,404.99,11,-2.07417861365796,-2.07385421848027,0.00258490173270863,-0.0741786136579554,-0.0738542184802724,1,0.999992370605469
1,82,82,-1.9,1,1,0.9,0,5,clean,405,409.99,11,-1.94235041314801,-1.94238120721111,0.00194876826002158,-0.0423504131480086,-0.0423812072111132,1,0.99999725818634
1,83,83,-1.8,1,1,0.9,0,5,clean,410,414.99,11,-1.81502074598016,-1.81485350336523,0.0019811773479359,-0.0150207459801615,-0.0148535033652288,1,0.999997973442078
1,84,84,-1.7,1,1,0.9,0,5,clean,415,419.99,11,-1.69987731023038,-1.69965682318624,0.00214790254750821,0.000122689769619155,0.000343176813763613,1,0.999998211860657
1,85,85,-1.6,1,1,0.9,0,5,clean,420,424.99,11,-1.59477371895199,-1.59443419839801,0.00353751526337849,0.00522628104801015,0.00556580160199416,1,0.999998450279236
1,86,86,-1.5,1,1,0.9,0,5,clean,425,429.99,11,-1.48897536936896,-1.48884375239981,0.00146826651256246,0.0110246306310382,0.0111562476001865,1,0.999998569488525
1,87,87,-1.4,1,1,0.9,0,5,clean,430,434.99,11,-1.35982759122142,-1.35993332332593,0.000508922085512349,0.040172408778578,0.0400666766740685,1,0.999998450279236
1,88,88,-1.3,1,1,0.9,0,5,clean,435,439.99,11,-1.23209344878866,-1.23232755740325,0.00162930146352043,0.067906551211337,0.0676724425967454,1,0.999998092651367
1,89,89,-1.2,1,1,0.9,0,5,clean,440,444.99,11,-1.09970848113965,-1.09993619615387,0.00114367790466503,0.100291518860345,0.100063803846128,1,0.999997854232788
1,90,90,-1.1,1,1,0.9,0,5,clean,445,449.99,11,-0.97955659573755,-0.979677016629565,0.000290762766514283,0.12044340426245,0.120322983370435,1,0.999997973442078
1,91,91,-1,1,1,0.9,0,5,clean,450,454.99,11,-0.862914200269216,-0.862945586152689,0.00025737643655686,0.137085799730784,0.137054413847311,1,0.999997854232788
1,92,92,-0.9,1,1,0.9,0,5,clean,455,459.99,11,-0.743891964122809,-0.744096860095936,0.000751424936182424,0.156108035877191,0.155903139904064,1,0.999997973442078
1,93,93,-0.8,1,1,0.9,0,5,clean,460,464.99,11,-0.649180185501475,-0.649276336907397,0.000330604628925164,0.150819814498525,0.150723663092603,1,0.99999737739563
1,94,94,-0.7,1,1,0.9,0,5,clean,465,469.99,11,-0.571095435197479,-0.571375400188651,0.000697693620171789,0.128904564802521,0.128624599811349,1,0.999996185302734
1,95,95,-0.6,1,1,0.9,0,5,clean,470,474.99,11,-0.496057429510985,-0.496220733124778,0.000634145767166946,0.103942570489015,0.103779266875222,1,0.999994158744812
1,96,96,-0.5,1,1,0.9,0,5,clean,475,479.99,11,-0.427793317294705,-0.42764632269795,0.00149507751782363,0.0722066827052955,0.0723536773020495,1,0.999991059303284
